Epoch,Train_Loss,Val_Loss,Val_CER,Val_WER,Learning_Rate,Epoch_Time_Sec
1,1.1365,0.4526,0.1379,0.5092,0.000100,10087.40
2,0.3869,0.3545,0.1090,0.4221,0.000100,9987.90
